run_id,run_name,state,use_self_attention_oe,attention_top_p,masking_probability,attention_filtering_method,oe_source,oe_method,dataset,num_epochs,auroc_ag_news,aupr_ag_news,fpr95_ag_news,auroc_wikitext,aupr_wikitext,fpr95_wikitext,auroc_mean,aupr_mean,fpr95_mean,id_val_f1,val_accuracy,val_auroc,generated_oe,processed_oe,epoch,runtime
3war9v6k,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251012_002228,finished,True,0.25,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1455
mp4i9c9n,20newsgroups_Self_Attention_OE_sequential_cross_20251012_004652,finished,True,0.25,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7410157607895125,0.7433875355043684,0.8210340256296951,0.8317436100193036,0.8094939103163903,0.6690234202386213,0.7863796854044081,0.7764407229103794,0.7450287229341581,0.7410396337509155,0.748563826084137,0.9606406092643738,9051,9051,3,1646
7ln5xa4s,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251012_022853,finished,True,0.25,0,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.719385550154662,0.7175699911290039,0.8462218294299603,0.8248213441247838,0.8014657669641372,0.5444100751215201,0.7721034471397229,0.7595178790465705,0.6953159522757402,0.7425359487533569,0.7534246444702148,0.9767862558364868,0,0,2,1458
47xklz7c,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251012_025516,finished,True,0.25,0,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7192174105170128,0.7176514558018853,0.8448961555457357,0.8246439674085788,0.8014460409521063,0.5444100751215201,0.7719306889627958,0.7595487483769958,0.694653115333628,0.7430749535560608,0.7538665533065796,0.9767937660217284,0,0,3,1443
v1q78zrp,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251012_032127,finished,True,0.25,0,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.719278317867138,0.7178895500293259,0.8462218294299603,0.8246663720724702,0.8013312055980639,0.5422006186478127,0.7719723449698042,0.7596103778136949,0.6942112240388865,0.7426474690437317,0.7534246444702148,0.9767991900444032,0,0,2,1167
relhsddn,20newsgroups_Self_Attention_OE_top_k_avg_elbow_lower_cross_20251012_034259,finished,True,0.25,0,top_k_avg_elbow_lower,Self_Attention_OE_top_k_avg_elbow_lower,SelfAttention,20newsgroups,5,0.7192135071439092,0.7178704448972216,0.8462218294299603,0.8246952888185998,0.8013876238799417,0.5426425099425541,0.7719543979812544,0.7596290343885816,0.6944321696862572,0.7428942918777466,0.7538665533065796,0.9768058061599731,0,0,2,1130
octwrusb,20newsgroups_Self_Attention_OE_sequential_cross_20251012_040158,finished,True,0.25,0,sequential,Self_Attention_OE_sequential,SelfAttention,20newsgroups,5,0.7549598615407276,0.7454854932740079,0.7490057445868317,0.831068756734966,0.8021996938009447,0.5607600530269554,0.7930143091378468,0.7738425935374763,0.6548828988068935,0.7463628053665161,0.7560759782791138,0.9603897929191588,9051,9051,4,1161
gylbjoj4,20newsgroups_Self_Attention_OE_entropy_elbow_higher_cross_20251012_051759,finished,True,0.25,0.05,entropy_elbow_higher,Self_Attention_OE_entropy_elbow_higher,SelfAttention,20newsgroups,5,0.7551881720430107,0.7528659387181025,0.7070260715863897,0.8425963051685776,0.824050771060451,0.4993371630578878,0.7988922386057942,0.7884583548892767,0.6031816173221387,0.734183132648468,0.7423774003982544,0.9668437242507936,1231,9051,4,1523
enzpwt38,20newsgroups_Self_Attention_OE_max_attention_elbow_lower_cross_20251012_054330,finished,True,0.25,0.05,max_attention_elbow_lower,Self_Attention_OE_max_attention_elbow_lower,SelfAttention,20newsgroups,5,0.7881110620120784,0.7943921541426789,0.658859920459567,0.8388420897582002,0.8273875621806235,0.5125939019001325,0.8134765758851392,0.8108898581616513,0.5857269111798498,0.7303458452224731,0.7397260069847107,0.9650592803955078,1231,9051,4,1194
8q2sh58v,20newsgroups_Self_Attention_OE_removed_avg_elbow_higher_cross_20251012_060334,finished,True,0.25,0.05,removed_avg_elbow_higher,Self_Attention_OE_removed_avg_elbow_higher,SelfAttention,20newsgroups,5,0.7525537634408602,0.7492546820906143,0.7167476800707026,0.8439477172826012,0.8293009150326153,0.4993371630578878,0.7982507403617307,0.7892777985616148,0.6080424215642952,0.7317028045654297,0.7401679158210754,0.9649385213851928,1229,9051,4,1525
